id,images,detected,coverage,bbox_frac_mean
PremaNazir,384.0,0.0,0.0,
Rahul_A,14.0,0.0,0.0,
Rajath,14.0,9.0,0.6428571428571429,0.01657707565611863
RajeshKhanna,592.0,4.0,0.006756756756756757,0.2988618649452252
RakheeGulzar,366.0,0.0,0.0,
RamanaReddy,311.0,4.0,0.012861736334405145,0.1375747251398293
Ramaprabha,236.0,1.0,0.00423728813559322,0.043533227065354806
RameshArvind,378.0,3.0,0.007936507936507936,0.38634999830821865
Rameshbhatt,239.0,2.0,0.008368200836820083,0.19905794525417703
RamyaKrishna,447.0,4.0,0.008948545861297539,0.4039850871239339
Ranimukherji,431.0,4.0,0.009280742459396751,0.3026524723403152
Relangi,346.0,1.0,0.002890173410404624,0.029946524064171122
Rimisen,200.0,0.0,0.0,
RishiKapoor,354.0,0.0,0.0,
Ritika,14.0,2.0,0.14285714285714285,0.018125619107226515
Ritvik,14.0,1.0,0.07142857142857142,0.011984166666666667
SVR,349.0,2.0,0.0057306590257879654,0.22636891786023156
SailendraMukherjee,215.0,2.0,0.009302325581395349,0.26210704264453455
SalmanKhan,501.0,1.0,0.001996007984031936,0.08703296703296703
Sameer,14.0,0.0,0.0,
Savithri,319.0,2.0,0.006269592476489028,0.3163168516526385
SharmilaTagore,418.0,1.0,0.0023923444976076554,0.2832427536231884
SharukhKhan,536.0,5.0,0.009328358208955223,0.33614216671237795
Shashikumar,337.0,7.0,0.020771513353115726,0.38970469490751475
ShilpaShetty,313.0,0.0,0.0,
Shivaram,242.0,2.0,0.008264462809917356,0.25929046563192903
Shobana,278.0,0.0,0.0,
Shubh,14.0,2.0,0.14285714285714285,0.034205208333333334
Siddique,426.0,1.0,0.002347417840375587,0.3550216883550217
Simran,545.0,0.0,0.0,
SoumithraChatterjee,216.0,0.0,0.0,
Soundarya,620.0,1.0,0.0016129032258064516,0.4722222222222222
Srihari,347.0,2.0,0.005763688760806916,0.2967080380873484
SureshGopi,305.0,2.0,0.006557377049180328,0.044556443617228755
Suryakantham,309.0,0.0,0.0,
TanikellaBharani,437.0,3.0,0.006864988558352402,0.18099411628823395
Tenniskrishna,220.0,9.0,0.04090909090909091,0.2946669476576352
Thilakan,319.0,0.0,0.0,
Trisha,437.0,0.0,0.0,
Umashri,254.0,0.0,0.0,
Vajramuni,233.0,3.0,0.012875536480686695,0.16834103961454863
Venkatesh,475.0,4.0,0.008421052631578947,0.14911031089959081
VinodKhanna,256.0,1.0,0.00390625,0.2724673202614379
Vishnuvardhan,385.0,5.0,0.012987012987012988,0.35431874703055705
abhay_deol,43.0,0.0,0.0,
adil_hussain,48.0,0.0,0.0,
ajay_devgn,43.0,0.0,0.0,
akshay_kumar,48.0,0.0,0.0,
akshaye_khanna,45.0,0.0,0.0,
amitabh_bachchan,44.0,0.0,0.0,
amjad_khan,29.0,1.0,0.034482758620689655,0.15584415584415584
amol_palekar,34.0,0.0,0.0,
amole_gupte,41.0,0.0,0.0,
amrish_puri,41.0,0.0,0.0,
anil_kapoor,37.0,0.0,0.0,
annu_kapoor,44.0,0.0,0.0,
anupam_kher,43.0,1.0,0.023255813953488372,0.052759740259740256
anushka_shetty,39.0,0.0,0.0,
arshad_warsi,43.0,1.0,0.023255813953488372,0.18272425249169436
aruna_irani,44.0,0.0,0.0,
ashish_vidyarthi,48.0,0.0,0.0,
asrani,36.0,0.0,0.0,
atul_kulkarni,44.0,0.0,0.0,
ayushmann_khurrana,46.0,0.0,0.0,
boman_irani,46.0,0.0,0.0,
chiranjeevi,45.0,1.0,0.022222222222222223,0.24596538985028193
chunky_panday,38.0,0.0,0.0,
danny_denzongpa,47.0,0.0,0.0,
darsheel_safary,42.0,0.0,0.0,
deepika_padukone,42.0,0.0,0.0,
deepti_naval,48.0,0.0,0.0,
dev_anand,46.0,0.0,0.0,
dharmendra,50.0,0.0,0.0,
dilip_kumar,43.0,0.0,0.0,
dimple_kapadia,40.0,0.0,0.0,
farhan_akhtar,45.0,0.0,0.0,
farida_jalal,37.0,0.0,0.0,
farooq_shaikh,47.0,0.0,0.0,
girish_karnad,46.0,0.0,0.0,
govinda,46.0,0.0,0.0,
gulshan_grover,42.0,0.0,0.0,
hrithik_roshan,45.0,0.0,0.0,
huma_qureshi,45.0,0.0,0.0,
irrfan_khan,47.0,0.0,0.0,
jaspal_bhatti,38.0,3.0,0.07894736842105263,0.14485932836095242
jeetendra,46.0,0.0,0.0,
jimmy_sheirgill,46.0,0.0,0.0,
johnny_lever,47.0,0.0,0.0,
kader_khan,44.0,0.0,0.0,
kalki_koechlin,48.0,0.0,0.0,
kamal_haasan,48.0,0.0,0.0,
kangana_ranaut,45.0,0.0,0.0,
kay_kay_menon,45.0,0.0,0.0,
konkona_sen_sharma,46.0,0.0,0.0,
kulbhushan_kharbanda,46.0,0.0,0.0,
lara_dutta,46.0,0.0,0.0,
madhuri_dixit,45.0,0.0,0.0,
mammootty,46.0,0.0,0.0,
manoj_bajpayee,46.0,0.0,0.0,
